item_id,order_id,product_id,category,quantity,price,amount
I0000000101,O2026041100000001,P00306,母婴,2,283.55,567.10
I0000000102,O2026041100000001,P00540,数码,1,2120.76,2120.76
I0000000201,O2026042300000002,P00702,服饰,1,168.60,168.60
I0000000202,O2026042300000002,P00064,美妆,1,77.70,77.70
I0000000203,O2026042300000002,P00580,运动,1,854.23,854.23
I0000000301,O2025101600000003,P00411,家居,1,346.76,346.76
I0000000401,O2026052000000004,P00054,母婴,3,221.55,664.65
I0000000402,O2026052000000004,P00658,食品,1,143.13,143.13
I0000000501,O2026060800000005,P00353,美妆,1,94.54,94.54
I0000000502,O2026060800000005,P00339,食品,1,66.40,66.40
I0000000503,O2026060800000005,P00368,服饰,1,340.22,340.22
I0000000601,O2025122200000006,P00597,食品,2,97.83,195.66
I0000000701,O2025121100000007,P00680,美妆,2,290.61,581.22
I0000000801,O2025061100000008,P00671,家居,3,823.57,2470.71
I0000000901,O2026032000000009,P00585,数码,1,3283.95,3283.95
I0000000902,O2026032000000009,P00369,图书,1,131.18,131.18
I0000000903,O2026032000000009,P00726,运动,1,207.67,207.67
I0000000904,O2026032000000009,P00281,美妆,3,264.13,792.39
I0000001001,O2025110600000010,P00146,数码,1,2054.64,2054.64
I0000001101,O2026022400000011,P00109,美妆,2,259.26,518.52
I0000001201,O2025071100000012,P00215,家居,1,383.77,383.77
I0000001202,O2025071100000012,P00779,食品,1,82.17,82.17
I0000001301,O2026060400000013,P00386,食品,3,94.98,284.94
I0000001302,O2026060400000013,P00218,数码,1,836.60,836.60
I0000001303,O2026060400000013,P00270,母婴,3,649.32,1947.96
I0000001401,O2025070800000014,P00510,食品,1,156.63,156.63
I0000001501,O2025061100000015,P00455,数码,2,2874.04,5748.08
I0000001502,O2025061100000015,P00357,食品,2,281.62,563.24
I0000001601,O2025060700000016,P00713,家居,1,1007.27,1007.27
I0000001701,O2025081400000017,P00227,图书,1,86.82,86.82
I0000001801,O2025091300000018,P00717,服饰,1,263.87,263.87
I0000001802,O2025091300000018,P00688,图书,1,57.23,57.23
I0000001803,O2025091300000018,P00763,运动,3,161.89,485.67
I0000001901,O2025031300000019,P00800,数码,1,2824.88,2824.88
I0000001902,O2025031300000019,P00107,图书,2,93.60,187.20
I0000002001,O2025051500000020,P00719,食品,5,17.78,88.90
I0000002002,O2025051500000020,P00746,母婴,2,173.86,347.72
I0000002101,O2026010900000021,P00003,数码,1,771.87,771.87
I0000002201,O2025030400000022,P00667,服饰,2,206.85,413.70
I0000002301,O2026040200000023,P00482,服饰,1,898.61,898.61
I0000002302,O2026040200000023,P00317,运动,1,1392.52,1392.52
I0000002303,O2026040200000023,P00442,运动,1,424.57,424.57
I0000002304,O2026040200000023,P00732,美妆,2,175.81,351.62
I0000002305,O2026040200000023,P00257,家居,1,598.47,598.47
I0000002401,O2025022200000024,P00179,家居,1,251.90,251.90
I0000002501,O2025031500000025,P00019,家电,1,1444.23,1444.23
I0000002601,O2025010500000026,P00780,服饰,2,456.86,913.72
I0000002701,O2026011700000027,P00188,美妆,1,130.84,130.84
I0000002702,O2026011700000027,P00705,母婴,2,126.05,252.10
I0000002703,O2026011700000027,P00572,服饰,1,293.48,293.48
I0000002801,O2025071800000028,P00289,数码,1,1184.58,1184.58
I0000002901,O2025062800000029,P00752,家电,1,596.31,596.31
I0000003001,O2025090700000030,P00056,服饰,1,164.61,164.61
I0000003101,O2026010200000031,P00247,服饰,1,182.02,182.02
I0000003201,O2025053100000032,P00347,美妆,1,169.69,169.69
I0000003202,O2025053100000032,P00230,服饰,1,244.17,244.17
I0000003203,O2025053100000032,P00574,数码,2,547.10,1094.20
I0000003301,O2025052300000033,P00745,食品,3,176.62,529.86
I0000003302,O2025052300000033,P00737,服饰,2,83.84,167.68
I0000003401,O2025122900000034,P00468,家电,1,1880.85,1880.85
I0000003402,O2025122900000034,P00363,食品,2,203.61,407.22
I0000003403,O2025122900000034,P00584,美妆,2,397.95,795.90
I0000003501,O2025033000000035,P00470,运动,2,431.18,862.36
I0000003502,O2025033000000035,P00615,食品,1,77.15,77.15
I0000003601,O2025112900000036,P00102,服饰,1,500.71,500.71
I0000003602,O2025112900000036,P00109,美妆,4,245.19,980.76
I0000003603,O2025112900000036,P00071,运动,1,1334.51,1334.51
I0000003604,O2025112900000036,P00012,美妆,2,138.30,276.60
I0000003701,O2026012300000037,P00506,服饰,2,64.22,128.44
I0000003801,O2025091700000038,P00604,服饰,1,512.64,512.64
I0000003802,O2025091700000038,P00087,运动,4,690.32,2761.28
I0000003803,O2025091700000038,P00563,数码,2,3371.64,6743.28
I0000003901,O2025121700000039,P00171,家居,1,852.22,852.22
I0000003902,O2025121700000039,P00778,食品,1,84.80,84.80
I0000003903,O2025121700000039,P00769,食品,2,298.73,597.46
I0000003904,O2025121700000039,P00575,食品,1,101.19,101.19
I0000004001,O2025050100000040,P00587,服饰,2,623.03,1246.06
I0000004002,O2025050100000040,P00527,服饰,2,266.39,532.78
I0000004101,O2026021400000041,P00293,母婴,2,367.06,734.12
I0000004102,O2026021400000041,P00379,食品,1,112.54,112.54
I0000004103,O2026021400000041,P00575,食品,3,107.07,321.21
I0000004201,O2025102800000042,P00366,服饰,2,177.33,354.66
I0000004301,O2025101000000043,P00249,母婴,1,535.12,535.12
I0000004302,O2025101000000043,P00404,运动,1,673.48,673.48
I0000004401,O2026052300000044,P00219,母婴,1,275.73,275.73
I0000004402,O2026052300000044,P00344,家居,1,778.02,778.02
I0000004501,O2025032100000045,P00278,服饰,1,286.39,286.39
I0000004601,O2025020900000046,P00003,数码,2,717.37,1434.74
I0000004701,O2025102800000047,P00348,服饰,1,757.08,757.08
I0000004702,O2025102800000047,P00262,食品,3,92.21,276.63
I0000004801,O2025112700000048,P00258,服饰,2,56.97,113.94
I0000004901,O2026020100000049,P00339,食品,3,65.33,195.99
I0000005001,O2025011500000050,P00756,数码,1,2564.01,2564.01
I0000005002,O2025011500000050,P00582,数码,3,2062.63,6187.89
I0000005101,O2025042100000051,P00684,运动,4,686.12,2744.48
I0000005102,O2025042100000051,P00145,食品,1,93.36,93.36
I0000005201,O2025051000000052,P00294,美妆,1,134.66,134.66
I0000005202,O2025051000000052,P00333,家居,1,438.88,438.88
I0000005203,O2025051000000052,P00170,家居,1,268.71,268.71
I0000005204,O2025051000000052,P00470,运动,1,411.88,411.88
I0000005205,O2025051000000052,P00695,服饰,1,142.54,142.54
I0000005301,O2025100100000053,P00070,美妆,1,149.03,149.03
I0000005302,O2025100100000053,P00604,服饰,1,512.33,512.33
I0000005401,O2026041800000054,P00103,图书,1,26.13,26.13
I0000005402,O2026041800000054,P00436,图书,1,54.12,54.12
I0000005501,O2025052100000055,P00373,食品,4,114.66,458.64
I0000005502,O2025052100000055,P00534,母婴,3,117.00,351.00
I0000005601,O2026010100000056,P00500,食品,1,94.13,94.13
I0000005602,O2026010100000056,P00534,母婴,1,116.61,116.61
I0000005603,O2026010100000056,P00384,母婴,1,475.12,475.12
I0000005701,O2025100900000057,P00751,服饰,1,210.99,210.99
I0000005801,O2025011000000058,P00296,家居,2,929.00,1858.00
I0000005901,O2026022400000059,P00406,数码,3,7272.67,21818.01
I0000005902,O2026022400000059,P00688,图书,1,55.26,55.26
I0000006001,O2026041700000060,P00539,家居,1,1107.10,1107.10
I0000006101,O2025032500000061,P00014,家居,2,635.78,1271.56
I0000006102,O2025032500000061,P00474,家电,1,916.15,916.15
I0000006201,O2025100100000062,P00409,美妆,1,515.07,515.07
I0000006202,O2025100100000062,P00043,食品,1,314.29,314.29
I0000006301,O2026011800000063,P00736,数码,1,3318.52,3318.52
I0000006401,O2026061800000064,P00349,美妆,1,74.73,74.73
I0000006402,O2026061800000064,P00165,服饰,1,84.26,84.26
I0000006403,O2026061800000064,P00685,服饰,1,211.03,211.03
I0000006404,O2026061800000064,P00082,服饰,1,178.78,178.78
I0000006501,O2026050400000065,P00621,图书,2,99.16,198.32
I0000006601,O2025041300000066,P00079,服饰,1,502.87,502.87
I0000006701,O2026042200000067,P00536,服饰,2,254.40,508.80
I0000006801,O2026032100000068,P00766,美妆,2,507.33,1014.66
I0000006802,O2026032100000068,P00648,服饰,1,160.92,160.92
I0000006803,O2026032100000068,P00719,食品,1,16.48,16.48
I0000006901,O2025042800000069,P00130,食品,1,87.17,87.17
I0000006902,O2025042800000069,P00782,家居,1,263.33,263.33
I0000007001,O2025051400000070,P00717,服饰,1,260.96,260.96
I0000007002,O2025051400000070,P00129,美妆,1,256.86,256.86
I0000007101,O2025121700000071,P00498,服饰,1,186.39,186.39
I0000007201,O2025042500000072,P00626,食品,1,122.78,122.78
I0000007301,O2025070900000073,P00703,母婴,2,358.25,716.50
I0000007401,O2025061900000074,P00564,家居,2,298.51,597.02
I0000007501,O2025051600000075,P00425,食品,2,94.19,188.38
I0000007502,O2025051600000075,P00068,服饰,1,395.44,395.44
I0000007503,O2025051600000075,P00211,运动,1,781.41,781.41
I0000007504,O2025051600000075,P00456,母婴,2,395.32,790.64
I0000007601,O2025020200000076,P00369,图书,1,131.68,131.68
I0000007701,O2025091300000077,P00468,家电,1,1944.25,1944.25
I0000007702,O2025091300000077,P00118,美妆,1,196.45,196.45
I0000007801,O2025010300000078,P00047,家电,1,652.89,652.89
I0000007901,O2026031500000079,P00100,家电,1,1775.22,1775.22
I0000007902,O2026031500000079,P00539,家居,2,1155.81,2311.62
I0000008001,O2025122000000080,P00797,数码,1,2146.13,2146.13
I0000008002,O2025122000000080,P00740,数码,1,1680.96,1680.96
I0000008101,O2026060100000081,P00367,美妆,1,226.96,226.96
I0000008201,O2026011200000082,P00493,美妆,1,321.59,321.59
I0000008301,O2025030800000083,P00103,图书,1,27.23,27.23
I0000008401,O2025010500000084,P00332,家居,1,558.61,558.61
I0000008501,O2025122400000085,P00427,运动,1,1790.19,1790.19
I0000008601,O2025012200000086,P00137,服饰,1,229.94,229.94
I0000008602,O2025012200000086,P00598,美妆,1,125.15,125.15
I0000008701,O2025060700000087,P00671,家居,1,811.00,811.00
I0000008702,O2025060700000087,P00791,母婴,1,534.13,534.13
I0000008703,O2025060700000087,P00574,数码,1,545.69,545.69
I0000008704,O2025060700000087,P00396,服饰,2,295.82,591.64
I0000008801,O2025062300000088,P00225,服饰,1,111.50,111.50
I0000008802,O2025062300000088,P00588,家居,4,1210.73,4842.92
I0000008901,O2025060700000089,P00306,母婴,1,281.33,281.33
I0000009001,O2026031500000090,P00751,服饰,1,206.85,206.85
I0000009101,O2025060500000091,P00539,家居,1,1092.97,1092.97
