order_id,user_id,order_time,pay_time,province,city,channel,order_status,total_amount,discount_amount,pay_amount
O2026041100000001,U001867,2026-04-11 21:27:16,2026-04-11 21:29:16,四川省,德阳,APP,已支付,2687.86,172.74,2515.12
O2026042300000002,U006119,2026-04-23 12:23:53,2026-04-23 12:26:53,山东省,潍坊,小程序,已支付,1100.53,33.02,1067.51
O2025101600000003,U008780,2025-10-16 20:31:53,2025-10-16 20:52:53,浙江省,温州,PC,已支付,346.76,0.00,346.76
O2026052000000004,U002174,2026-05-20 22:19:28,2026-05-20 22:35:28,河南省,新乡,直播间,已支付,807.78,34.44,773.34
O2026060800000005,U010321,2026-06-08 20:46:42,2026-06-08 20:54:42,浙江省,杭州,APP,已支付,501.16,22.55,478.61
O2025122200000006,U004700,2025-12-22 21:26:33,2025-12-22 21:45:33,河南省,新乡,APP,已完成,195.66,3.91,191.75
O2025121100000007,U011636,2025-12-11 22:06:57,2025-12-11 22:16:57,江苏省,常州,小程序,已支付,581.22,8.72,572.50
O2025061100000008,U004983,2025-06-11 20:21:51,,四川省,南充,搜索广告,已取消,2470.71,74.12,0.00
O2026032000000009,U003958,2026-03-20 22:20:20,2026-03-20 22:31:20,湖北省,宜昌,APP,已退款,4415.19,176.61,249.56
O2025110600000010,U006252,2025-11-06 20:15:52,2025-11-06 20:34:52,浙江省,绍兴,APP,已支付,2054.64,82.19,1972.45
O2026022400000011,U002558,2026-02-24 22:30:52,2026-02-24 22:49:52,上海市,上海,直播间,已支付,518.52,37.46,481.06
O2025071100000012,U009328,2025-07-11 08:53:27,2025-07-11 09:20:27,广东省,广州,APP,已支付,465.94,4.66,461.28
O2026060400000013,U005782,2026-06-04 22:47:57,2026-06-04 23:04:57,浙江省,杭州,搜索广告,已完成,3069.50,92.08,2977.42
O2025070800000014,U008110,2025-07-08 11:23:20,2025-07-08 11:38:20,四川省,南充,APP,已支付,156.63,3.13,153.50
O2025061100000015,U009036,2025-06-11 19:37:23,2025-06-11 19:49:23,福建省,莆田,APP,已支付,6311.32,189.34,6121.98
O2025060700000016,U007454,2025-06-07 21:15:28,2025-06-07 21:38:28,江苏省,无锡,APP,已完成,1007.27,40.52,966.75
O2025081400000017,U008108,2025-08-14 19:31:07,2025-08-14 19:53:07,浙江省,绍兴,直播间,已完成,86.82,2.56,84.26
O2025091300000018,U003181,2025-09-13 15:50:40,2025-09-13 16:19:40,湖北省,宜昌,APP,已退款,806.77,37.80,39.96
O2025031300000019,U005871,2025-03-13 12:03:11,2025-03-13 12:33:11,安徽省,阜阳,APP,已退款,3012.08,90.36,414.82
O2025051500000020,U008498,2025-05-15 09:20:35,2025-05-15 09:36:35,四川省,德阳,小程序,已完成,436.62,4.37,432.25
O2026010900000021,U007140,2026-01-09 20:13:09,2026-01-09 20:39:09,广东省,东莞,小程序,已支付,771.87,11.58,760.29
O2025030400000022,U011995,2025-03-04 20:13:31,2025-03-04 20:24:31,四川省,南充,小程序,已完成,413.70,4.14,409.56
O2026040200000023,U008724,2026-04-02 22:28:45,2026-04-02 22:50:45,广东省,佛山,搜索广告,已支付,3665.79,109.97,3555.82
O2025022200000024,U003205,2025-02-22 22:27:31,2025-02-22 22:43:31,湖北省,武汉,APP,已支付,251.90,5.92,245.98
O2025031500000025,U005326,2025-03-15 22:33:37,2025-03-15 22:46:37,广东省,东莞,PC,已支付,1444.23,109.57,1334.66
O2025010500000026,U002544,2025-01-05 21:32:12,2025-01-05 21:58:12,四川省,成都,APP,已完成,913.72,51.59,862.13
O2026011700000027,U005706,2026-01-17 21:55:04,2026-01-17 22:17:04,广东省,深圳,搜索广告,已支付,676.42,27.42,649.00
O2025071800000028,U000045,2025-07-18 20:45:45,2025-07-18 21:08:45,江苏省,常州,小程序,已退款,1184.58,35.54,314.75
O2025062800000029,U005621,2025-06-28 20:11:49,2025-06-28 20:21:49,广东省,珠海,小程序,已支付,596.31,29.20,567.11
